,D28-CTL_values,D28-CTL_std,D14-JFD-CCl4_values,D14-JFD-CCl4_std,D28-JFD-CCl4_values,D28-JFD-CCl4_std,D28-CCl4_values,D28-CCl4_std,D1-CCl4_values,D1-CCl4_std,D14-CCl4_values,D14-CCl4_std,D1-JFD-CCl4_values,D1-JFD-CCl4_std,D14-JFH-CCl4_values,D14-JFH-CCl4_std,D1-JFH-CCl4_values,D1-JFH-CCl4_std,D1-CTL_values,D1-CTL_std,D28-JFH-CCl4_values,D28-JFH-CCl4_std,D14-CTL_values,D14-CTL_std
206494,0.4,0.8000000000000002,25.0,24.33926868252208,5.8,8.795453370918407,14.8,19.353552645444715,56.2,64.54889619505511,2.4,3.0066592756745814,7.2,4.955804677345547,46.2,83.97475811218511,21.4,35.92547842409339,0.8,1.1661903789690604,25.0,45.05996005324461,0.2,0.4000000000000001
303414,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
591907,0.4,0.48989794855663565,4.4,4.498888751680798,0.4,0.8000000000000002,0.0,0.0,0.2,0.4,2.6,4.2708313008125245,0.6,0.7999999999999999,3.0,4.147288270665544,0.0,0.0,1.4,1.3564659966250536,6.4,4.923413450036469,0.6,0.7999999999999999
276531,6.2,7.909487973314077,0.0,0.0,7.0,14.0,16.2,13.775340286178052,0.2,0.4000000000000001,0.8,1.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.1952353926806065,1.6,3.2000000000000006,1.8,3.6
278650,0.0,0.0,0.0,0.0,0.0,0.0,23.6,18.682612237050794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311173,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.0,0.0,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.0,0.0,0.2,0.4000000000000001,0.0,0.0
268962,12.4,8.039900496896713,23.8,35.159067109353174,23.6,19.975985582694037,5.8,4.874423042781576,26.0,5.656854249492381,2.0,2.6076809620810595,23.6,12.611106216347558,10.0,11.15347479487895,19.0,12.231107881136523,7.0,7.899367063252599,1.6,1.8547236990991407,13.4,8.912911982062877
4405128,18.8,13.22724461102916,20.8,20.79807683416907,16.8,15.600000000000001,29.2,38.99435856633623,17.6,6.945502141674135,5.2,5.706137047074843,18.4,8.404760555780278,8.8,11.303096920755834,28.0,21.52208168370337,13.6,10.63202708800161,3.2,2.9933259094191533,14.4,15.628179676469044
766768,12.4,24.800000000000004,3.8,3.54400902933387,0.6,0.7999999999999999,0.8,1.6000000000000003,0.0,0.0,0.4,0.48989794855663565,0.4,0.8000000000000002,0.2,0.4000000000000001,0.2,0.4,0.4,0.48989794855663565,15.6,29.2205407205274,1.8,3.6000000000000005
1107652,14.0,14.926486525636232,8.4,6.6211781428987395,12.4,9.478396488858229,17.4,8.73155198117723,8.2,5.2687759489277965,4.2,2.9933259094191533,2.2,2.4819347291981715,6.4,7.709734106958553,5.2,4.4,16.2,10.303397497913005,13.8,10.457533169921097,5.4,3.3823069050575527
227788,0.0,0.0,0.6,1.2000000000000002,42.8,78.1777461941696,3.6,3.9293765408777004,6.6,5.499090833947008,5.2,6.11228271597445,2.4,2.0591260281974,13.6,7.059745037889116,6.8,8.930845424706442,9.4,18.8,0.6,0.8,13.4,24.848339984795768
258995,1.2,1.16619037896906,2.4,3.49857113690718,0.6,0.7999999999999999,3.0,3.794733192202055,7.6,9.134549797335389,0.0,0.0,3.8,3.8678159211627436,2.4,2.4979991993593593,5.8,7.30479294709987,1.4,2.33238075793812,0.8,1.6,4.6,4.841487374764082
217100,0.6,1.2,13.8,13.862178760930766,5.0,4.6475800154489,8.0,7.92464510246358,0.4,0.8000000000000002,9.8,13.702554506368513,0.2,0.4000000000000001,8.2,10.127191120937729,1.8,3.124099870362662,1.6,2.727636339397171,14.8,23.24134247413432,3.4,5.851495535331117
204088,9.2,7.626270385975048,61.8,51.097553757494104,8.6,13.215142829345432,9.8,13.16662447250623,15.2,16.228370220080635,19.0,11.027239001672177,6.4,7.914543574963751,64.4,55.2579406058532,2.8,2.9257477676655586,12.4,15.932357013323546,39.4,32.24034739266933,15.0,14.142135623730951
833816,1.6,3.2,4.8,5.67097875150313,0.0,0.0,5.0,9.011104260855047,13.8,12.921300244170476,0.4,0.8000000000000002,0.6,1.2000000000000002,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2000000000000002
274018,1.2,2.4,15.8,27.77336853894392,5.4,10.8,8.0,12.149074038789951,22.6,26.605262637305422,0.6,0.7999999999999999,0.2,0.4000000000000001,15.4,30.8,32.2,41.077487751808775,1.6,3.2000000000000006,0.0,0.0,18.8,23.71834732859775
343264,5.6,7.059745037889116,8.2,10.4,12.0,12.016655108639842,2.4,1.019803902718557,21.4,17.3735431043872,4.6,8.708616422830895,14.6,17.315888657530692,15.4,21.256528408938276,14.2,11.822013364905319,1.6,3.2,2.8,4.1182520563948,3.6,2.0591260281974
199307,8.2,8.158431221748456,2.8,3.7629775444453557,12.2,15.841717078650282,1.4,1.3564659966250538,13.2,11.08873302050329,0.4,0.48989794855663565,6.6,5.642694391866354,3.8,3.1874754901018454,16.0,15.824032355881986,2.0,0.6324555320336759,0.0,0.0,11.2,12.172099243762352
462764,0.4,0.8000000000000002,0.4,0.8000000000000002,1.6,1.8547236990991407,0.6,1.2,3.8,4.4,1.6,2.244994432064365,1.0,1.5491933384829668,0.0,0.0,2.4,2.154065922853802,0.0,0.0,0.0,0.0,0.8,1.6000000000000003
408513,0.2,0.4000000000000001,1.0,2.0,0.4,0.8,0.2,0.4,4.4,4.6303347611160905,0.0,0.0,1.2,1.4696938456699067,0.4,0.8,1.8,1.9390719429665317,0.2,0.4,0.0,0.0,6.4,7.227724399837061
341252,0.0,0.0,1.0,1.5491933384829668,0.6,0.7999999999999999,1.0,0.8944271909999159,2.4,2.9393876913398134,3.8,7.11055553385247,0.2,0.4,1.0,1.0954451150103321,0.0,0.0,0.0,0.0,2.2,4.4,0.0,0.0
